seed,case_id,ablation,delta_recovered_cases,delta_recovered_minor,delta_net_recovered_minor,delta_intervention_cost_minor,delta_contacts,delta_attempts,delta_latency_hours,delta_fatigue_cost_minor,delta_waits
101,sim-fce2735e-8064-988c-91ba8aafa84e,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-86f817e1-2c1f-e0d1-6c23f74dc9de,without_customer_context,0,0,25,-25,-1,1,29,-30,0
101,sim-1e8cfffc-9e98-7a49-b92d784bf2d4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-5b4caf18-ed83-cb99-88648cfee4b3,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-3d3285cf-6b31-bcb7-27bfe131e10c,without_customer_context,-1,-312882,-312857,-25,-1,1,-22,-359,0
101,sim-3b795202-6cff-d179-c6f85adbf585,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d2ed7568-95f3-9851-f2e008e4bda8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7dc918c4-3d38-fb55-817adf1be75e,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8222cef7-d29f-bcc1-97dff321ce5a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-e5ef4599-4266-1f9e-eda6af3e327c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-c0958a1e-73d6-069d-4261b55a78ae,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-3c29088d-8694-d9c2-9dbc6f51c728,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d6de70b0-4101-f2c4-19d1c169f491,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-898c782c-42ee-4803-784ff1bafca3,without_customer_context,0,0,35,-35,0,-1,-4,0,1
101,sim-e299d2eb-9559-ce7a-844ac8ea850c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7cad6922-ea3c-ced1-b03de3f4e39d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-4c0d6d0d-5c4d-3d5a-342bac9f206d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-0b70025d-6a63-1ebd-7c65bb760069,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-4920ed71-8e1c-0bfd-f45a08e20bf0,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-92a9319c-ff2e-8e76-fa53f6838ed3,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-04c129f9-9a18-acad-4e1cb223c317,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b2a7c2fa-cb2d-b811-9de93b8f2200,without_customer_context,-1,-62017,-61992,-25,-1,0,18,-36,1
101,sim-2aa9ce1f-d5c1-24d6-bb69666bbac4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-10768e2b-2f51-2f8c-84babcb7a7ad,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8611e279-9675-4f70-d311d889f7ad,without_customer_context,0,0,55,-55,-1,0,51,-15,1
101,sim-c0c2d62e-600f-e08b-1175ad58c457,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-58824c81-09b3-89d6-451cdf7e4499,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-9035c531-ecf6-ab65-15b5dc8addeb,without_customer_context,-1,-25571,-25526,-45,-1,0,2,-9,1
101,sim-b5b32fa6-d252-6fc9-d4581933edb5,without_customer_context,0,0,25,-25,-1,0,35,-41,1
101,sim-4b9fbe39-076e-a1fa-ea74575cf742,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-026a1824-cd14-01e3-825418c235d4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-cc68f044-c26e-737e-71ba5f9adb9b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f3b946ac-5f36-f4c5-3ba40854162f,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6d0ba78f-cf28-e6a1-f09093e2758f,without_customer_context,0,0,25,-25,-1,1,3,-242,0
101,sim-ba1930f0-99b7-153e-937ddb2a7b2c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ae560b3a-48f5-79b3-35675f1531e7,without_customer_context,0,0,25,-25,-1,0,39,-183,1
101,sim-ad5f02e2-bad5-c384-3398c1f6ecee,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f5dc4075-c76e-1901-15522577367b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d2338f72-5de0-0f0a-32295b4f0a10,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-36e6d6e1-791a-ff6d-f973bca4714e,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-3589cb4e-3dff-941f-d6f4361fa1d1,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-47fd2abf-4047-aeb5-eaa9c9c03668,without_customer_context,0,0,-2965,2965,1,-1,-7,74,0
101,sim-1aaee77f-6c37-f4a8-bceb04b901c0,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2c17277f-6ed9-72d8-0b6bc1b363dd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-78193c77-37bd-cd78-157643047855,without_customer_context,0,0,2965,-2965,-1,1,-44,-105,0
101,sim-8dc9bd3b-296b-8fcc-d8ad7e85bd30,without_customer_context,0,0,25,-25,-1,0,-43,-56,1
101,sim-2b0f8ac9-f5c5-4fbb-a0f18a4bbfe9,without_customer_context,-1,-216908,-216863,-45,-1,0,40,-261,1
101,sim-69f802fb-e08e-dc51-7823417de5f4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6b51236f-14f9-d181-427f9c4cb15c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d59c991b-8eca-8e8a-020edac3de1e,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-140a4a85-92b1-caf9-333121c9ca27,without_customer_context,1,29828,29883,-55,-1,0,-1,-22,1
101,sim-c71eeeff-48f4-ea72-de8e01fcdaca,without_customer_context,1,53974,54029,-55,-1,0,32,-15,1
101,sim-7c447b8c-aca3-f2e3-d75e0a27ef0a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-177c4644-4957-a2e3-de629b275fee,without_customer_context,-1,-80032,-79977,-55,-1,0,-3,-45,1
101,sim-1d55edb3-d104-51e9-43582a71e024,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b6aded1a-1bfe-c585-9c2a3fcdc354,without_customer_context,0,0,-2965,2965,1,-1,-8,141,0
101,sim-a1756529-d242-0f16-9fbc52412991,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6ecbae63-1c30-9509-a5e414d9773a,without_customer_context,-1,-58821,-55821,-3000,-1,0,11,-36,1
101,sim-68d0d66e-2e86-ae95-ac8680d2dafa,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-448591b6-adda-d812-fb4d0d5698b0,without_customer_context,0,0,45,-45,-1,0,71,-57,1
101,sim-eb17d935-f475-7745-70a03f765bdd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ed52cef0-0f56-16d4-7b04985517de,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6ed9eecd-3501-81bd-4ac839325ca8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-702e9942-cb1d-8b8b-3a9c3cd92336,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-e893a5dd-f11d-8ff8-68408a621f13,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-a6dfbdb0-2db7-7268-dc232dd0d721,without_customer_context,1,187573,187618,-45,-1,0,-8,-133,1
101,sim-06ea58e8-e4ea-105f-f7a65144155a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-21c1cb85-47ba-b1e3-4a0e13967585,without_customer_context,-1,-200411,-197411,-3000,-1,0,76,-51,1
101,sim-ec824823-c09b-5db2-2547c4711b30,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-c7bb23d5-995a-f6a2-f0c19be5de5e,without_customer_context,0,0,0,0,0,0,0,0,0
